"","x","y","YIELD","MOIST","ELEV","DIST","SWAT","EVI","NDVI"
"2112",583955,5425605,5.72349405288696,8.93546009063721,336.264068603516,1.90571963787079,12.0591325759888,0.312627792358398,0.399071931838989
"2113",583965,5425605,6.56760835647583,9.45292282104492,336.022003173828,2.30788850784302,12.0760097503662,0.350716888904572,0.434542804956436
"2141",583585,5425595,8.52572822570801,9.41478061676025,339.949737548828,2.1560115814209,11.9907846450806,0.239744752645493,0.329367578029633
"2142",583595,5425595,8.85438632965088,9.68506526947021,339.551208496094,1.84879291057587,11.7883729934692,0.243239566683769,0.333540380001068
"2143",583605,5425595,8.67609786987305,10.0408935546875,338.996673583984,1.68085396289825,12.0100526809692,0.24087755382061,0.329858988523483
"2144",583615,5425595,9.05628204345703,9.64983654022217,338.774322509766,1.66464650630951,12.039999961853,0.246994197368622,0.337019979953766
"2145",583625,5425595,8.61900234222412,9.64201927185059,338.367645263672,1.67248046398163,12.039999961853,0.258082032203674,0.348197937011719
"2150",583675,5425595,7.89718341827393,9.13756275177002,337.363830566406,1.52157258987427,12.039999961853,0.238117128610611,0.33099040389061
"2151",583685,5425595,8.43921089172363,9.01866340637207,337.276123046875,1.88068568706512,12.039999961853,0.241175934672356,0.337384074926376
"2152",583695,5425595,8.83513641357422,9.0493221282959,337.114532470703,1.71394121646881,12.039999961853,0.260159611701965,0.355611592531204
"2153",583705,5425595,7.97523021697998,8.99060344696045,336.770721435547,1.75585877895355,12.039999961853,0.275341898202896,0.367941707372665
"2154",583715,5425595,8.5676326751709,8.78096961975098,336.680572509766,1.82481968402863,12.039999961853,0.278937816619873,0.371186941862106
"2155",583725,5425595,9.05687808990479,8.63002872467041,337.07421875,1.76320445537567,11.9061212539673,0.278234660625458,0.369763195514679
"2156",583735,5425595,8.91691780090332,8.3976993560791,337.115844726562,1.92664301395416,11.5793228149414,0.289635568857193,0.380238592624664
"2157",583745,5425595,9.03096294403076,8.85817813873291,336.935729980469,1.67394065856934,11.6624345779419,0.267510622739792,0.359627336263657
"2158",583755,5425595,8.59415435791016,9.25541305541992,336.793640136719,1.61591744422913,12.0946807861328,0.249976933002472,0.343690544366837
"2159",583765,5425595,7.62710475921631,9.05231285095215,337.058837890625,1.8087215423584,12.1920003890991,0.259900391101837,0.357235997915268
"2177",583945,5425595,5.3930025100708,8.98806285858154,336.442749023438,2.00295829772949,12.1017417907715,0.315175801515579,0.400927007198334
"2178",583955,5425595,5.51228618621826,8.58316898345947,336.232208251953,1.9381058216095,11.8607797622681,0.330497235059738,0.413447797298431
